Client,Project,Spent,Left,Budget,Kind
Strategy,[1122905] Naval Marine Corps Relief Society,143.59,156.41,300.0,Hours
Strategy,[1361537] Elizabeth Glaser Pediatric AIDS Foundation - Strategic Consulting Phase,192.4,-6.40000000000001,186.0,Hours
Strategy,[1362592] Recyclebank - Learn and Earns,401.64,-284.64,117.0,Hours
Strategy,[1365598] Elizabeth Glaser Pediatric AIDS - Website Build,315.55,-115.55,200.0,Hours
Strategy,[1468341] Recyclebank - Corporate Video,389.89,-189.89,200.0,Hours
Strategy,[1469653] AEG - Facts Section,0.83,64.17,65.0,Hours
Strategy,[1469784] Operation Warm,270.22,-75.22,195.0,Hours
Strategy,[1469830] Providers Council,500.28,-100.28,400.0,Hours
Strategy,[1477880] PBS - Donate Your Like,185.18,134.82,320.0,Hours
Strategy,[1496847] Cadbury Wishes 2011,213.3,-13.3,200.0,Hours
Strategy,[1496861] Music Matters - Widget,81.98,-21.98,60.0,Hours
Strategy,[1509126] United Way Nashville - Site Build,72.36,82.64,155.0,Hours
Strategy,[1509129] United Way Nashville - Discovery and Audit,208.29,-53.29,155.0,Hours
Strategy,[1521536] Recyclebank - Al Gore Event,111.91,-16.91,95.0,Hours
Strategy,[1521606] Greater Chicago Food Depository,395.47,-73.47,322.0,Hours
Strategy,[1530510] Bellagio - Bellagio Event Strategy,377.5,-0.5,377.0,Hours
Strategy,[1530523] Bellagio - Initial Strategy Development,191.64,-2.63999999999999,189.0,Hours
Strategy,[1530527] Bellagio - Website & Creative,79.53,8.47,88.0,Hours
Strategy,[1530530] Bellagio - Video Production,86.32,257.68,344.0,Hours
Strategy,[1530637] Bring Change 2 Mind,266.3,66.7,333.0,Hours
Strategy,[1542148] Citizen To Citizen,125.85,-124.85,1.0,Hours
Strategy,[1545005] College of Social Work - Strategy and Training,2.45,-1.45,1.0,Hours
Strategy,[1545033] College of Social Work - Fall 2011,28.64,93.36,122.0,Hours
Strategy,[1550916] Community Resources for Justice (CRJ),161.79,123.21,285.0,Hours
Strategy,[1550924] YMCA NYC - Site Build,136.0,334.0,470.0,Hours
Strategy,[1562226] Pan American Development Foundation,251.45,-6.44999999999999,245.0,Hours
Strategy,[1568240] Recyclebank - Pantene Partnership,67.26,87.74,155.0,Hours
Strategy,[1568244] Fourth Presbyterian Church - CMS Implementation,58.14,-18.14,40.0,Hours
Strategy,[1568252] 38 Degrees - WPO,13.65,29.35,43.0,Hours
Strategy,[1570943] Partners in Health - Responsive Redesign,0.0,800.0,800.0,United States Dollars - USD
Strategy,[1580319] Response Ability Project,281.11,-11.11,270.0,Hours
Strategy,[1582621] NAACP - Voting Rights Microsite,92.21,40.79,133.0,Hours
Strategy,[1585817] GWU - High-Level Planning,172.29,-65.29,107.0,Hours
Strategy,[1597121] Nature Conservancy - EOY Video,299.03,-124.03,175.0,Hours
Strategy,[1597151] You Can Play Project,142.31,27.69,170.0,Hours
Strategy,[1607946] Rockefeller Foundation - Centennial Website,417.08,137.92,555.0,Hours
Strategy,[1655075] Music Matters -  Unsung Heroes,97.85,-85.85,12.0,Hours
Strategy,[1662856] Lantern Group,129.99,105.01,235.0,Hours
Strategy,[1663237] Cleveland Clinic - Phase 1,349.91,-82.91,267.0,Hours
Strategy,[1663245] Cleveland Clinic - Phase 2,97.11,80.89,178.0,Hours
Strategy,[1681835] Gratz College,143.6,211.4,355.0,Hours
Strategy,[1681869] Nature Conservancy CA - Initial Project,139.83,111.17,251.0,Hours
Strategy,[1683917] Common Good - 2011 Site upgrade,9.05,12.95,22.0,Hours
Strategy,[1692083] Nature Conservancy - Lightbox/Email,19.0,55.0,74.0,Hours
Strategy,[1699726] Carnegie Hall - End of Year Email Campaign,71.59,18.41,90.0,Hours
Strategy,[1699732] AmEx - Doc Development,36.72,-16.72,20.0,Hours
Strategy,[1722934] CSIS - Video Project,336.0,-209.0,127.0,Hours
Strategy,[1722971] Televisa - EPN Site Build,40.67,-39.67,1.0,Hours
Strategy,[1732713] Recyclebank - 50 State Challenge,82.27,-81.27,1.0,Hours
Strategy,[1732716] Recyclebank - Pepsi Animation Video,84.0,-83.0,1.0,Hours
Strategy,[1732719] Recyclebank - Process Animation Video,33.5,-32.5,1.0,Hours
Strategy,[1732726] Music Matters - Retailers Section,72.5,-12.5,60.0,Hours
Strategy,[1737023] Freedom to Marry - EOY Video,35.5,4.5,40.0,Hours
Strategy,[1756403] Save The Children UK - Nutrition Project,45.07,14.93,60.0,Hours
Strategy,[1756406] Amnesty International - SMS Strategy,30.0,0.0,30.0,Hours
Strategy,[1757363] Music Matters - Widget Revisions,0.0,40.0,40.0,Hours
Strategy,[1785768] BSD Marketing - Tools Website Refresh,41.12,136.88,178.0,Hours
Strategy,[1785775] St. Olaf - Social Media Audit,74.27,103.73,178.0,Hours
Strategy,"[1799734] Recyclebank - Rebranding, Discovery",36.39,38.61,75.0,Hours
Strategy,"[1799752] Recyclebank - Rebranding, Visual Development",0.0,255.0,255.0,Hours
Strategy,"[1799756] Recyclebank - Rebranding, Design Refinement",0.0,220.0,220.0,Hours
Strategy,[1809598] Recyclebank - Earth Month,134.84,340.16,475.0,Hours
Strategy,[1809605] Freedom to Marry - Respect for Marriage Site/Branding,16.06,72.94,89.0,Hours
Strategy,[1809623] Scottish Government - Greener Scotland,161.64,174.36,336.0,Hours
Strategy,[1811864] California Forward - California Economic Summit,108.75,58.25,167.0,Hours
Strategy,[1826589] Francois Hollande Campaign,322.85,127.15,450.0,Hours
Strategy,[1853078] V Day - Site Build,7.43,223.57,231.0,Hours
Strategy,[1878923] DrugFree - Pilot,27.72,194.28,222.0,Hours
Strategy,[1878954] YMCA South Hampton Road,14.11,765.89,780.0,Hours
Strategy,[1878967] Family Online Safety Institute,53.86,281.14,335.0,Hours
Strategy,[1902490] Godiva - Microsite Production,9.5,234.5,244.0,Hours
Strategy,[1902495] Godiva - Campaign Execution,18.41,24.59,43.0,Hours
Strategy,[1902710] Students First - California State Page,10.67,45.33,56.0,Hours
Strategy,[css] Community Service Society,363.75,41.25,405.0,Hours
Strategy,[DCCOUNCIL] DC Council,537.31,105.69,643.0,Hours
Strategy,[NYC ST - launch] NYC Sustainable Transit - site build + pre-public strategy,336.06,-136.06,200.0,Hours
Strategy,[SRFYTH] Surfrider Youth Project,159.18,-24.18,135.0,Hours
Strategy,BNSF Railway,124.25,15.75,140.0,Hours
Strategy,Children's Society,314.82,-66.82,248.0,Hours
Strategy,In the Life Media - Site Build,194.29,110.71,305.0,Hours
Strategy,NAACP - Youth and College Microsite,78.85,21.15,100.0,Hours
Strategy,Nature Conservancy - Analytics Audit and Optimization,196.41,-96.41,100.0,Hours
Strategy,United Way NCA - Fun Fly Fit,64.16,50.84,115.0,Hours
Strategy,World Bicycle Relieft - Website Build,133.58,76.42,210.0,Hours
Strategy,YMCA LA - Main Site Build,577.39,172.61,750.0,Hours
